airport,degree,betweenness,pagerank,cluster
6II0,0.0004439708755105665,0.0,4.255714177403177e-05,1
99II,0.0005327650506126798,8.520871001431056e-05,5.770781102197105e-05,1
K2R2,0.002131060202450719,0.00013316415151426632,0.00010035739099304968,1
K3I3,0.0019534718522464926,3.188261539598275e-05,0.00011727649279267858,1
K4M7,0.0014207068016338128,9.824935863326244e-05,7.143157573018401e-05,1
KPHL,0.05105665068371515,0.011798251077299603,0.003002769225700922,2
KTYQ,0.01695968744450364,0.003093963566947553,0.000582899336332486,0
02MD,0.0001775883502042266,0.0,1.8386629517644837e-05,1
KCGS,0.004350914580003552,0.0002747854659507666,0.00018820216918178045,1
KDCA,0.035428875865743205,0.003206313605578121,0.002943262147811861,3
02MI,0.0005327650506126798,9.077679557959908e-07,3.383235254697711e-05,1
KAZO,0.008080269934292311,0.0014789694544942338,0.0002698023948009929,0
KFFX,0.002042266027348606,3.157254533370135e-05,0.0001123257036802354,1
02MU,0.0006215592257147931,8.719594689728509e-05,7.929008861480726e-05,1
27MO,0.0003551767004084532,1.1486753487485033e-05,5.057089167364872e-05,1
KEOS,0.0009767359261232463,1.9252685749574514e-05,6.33722517079813e-05,1
KSGF,0.01589415734327828,0.0032367101782121723,0.0005147162066199941,0
02OI,0.0001775883502042266,0.0,1.8386629517644837e-05,1
K8G2,0.0013319126265316996,0.00022068913810552326,7.1988343827023e-05,1
KFKL,0.002131060202450719,0.0001232430721119002,9.650755434126627e-05,1
02OR,0.0014207068016338128,0.0001282703516911417,0.00012757098741610472,1
1OR5,0.0005327650506126798,2.6210909457513287e-06,6.90630241964413e-05,1
KBTF,0.007369916533475404,0.00038873816666607375,0.0003242853367102714,0
KDLS,0.004883679630616231,0.0006639486977515874,0.0002977994909714641,1
KMAN,0.003995737879595098,0.00018167522890208884,0.00024205831440941345,1
KPDX,0.026815840880838215,0.008143585155984073,0.001608714740823955,3
WA63,0.0013319126265316996,2.4953922513915054e-05,0.00011192088178376033,1
02TX,0.0006215592257147931,3.469788166465257e-05,3.5352826001578154e-05,1
96TS,0.0001775883502042266,0.0,2.8966238964648203e-05,1
K5F1,0.0001775883502042266,0.0,2.8518812503036545e-05,1
KLBB,0.018735570946545908,0.004989490412904944,0.001049369299635052,3
KLLN,0.0011543242763274728,0.00013025869783928648,5.853097236581053e-05,1
02VA,0.0010655301012253596,2.095519861656511e-06,6.830308057030764e-05,1
KEZF,0.004439708755105665,0.0003807925338743668,0.000231008959711815,1
KHEF,0.023708044752264252,0.004477727588849088,0.001155519865451667,3
KHWY,0.003818149529390872,5.557146927384624e-05,0.00013314478985917006,1
KRMN,0.004794885455514118,0.0002840884757016675,0.0001471955301012064,1
02WA,0.0009767359261232463,1.924347047207413e-06,4.0075963486080874e-05,1
1WA9,0.004972473805718345,4.300697760789745e-05,0.00029678295429576203,1
51WA,0.0012431184514295863,4.122344809877137e-06,5.6056007785440675e-05,1
KBFI,0.03312022731308826,0.012920296104656311,0.0017367148176650404,3
KPWT,0.008257858284496537,0.0008452556252855929,0.00027426043311464936,0
KRNT,0.012697567039602202,0.0011641552627271062,0.0006965419608421266,0
02XS,0.013319126265316995,0.001729462263362033,0.0005451678370152518,0
CA75,0.0011543242763274728,2.1896888778458668e-06,6.744373095569274e-05,1
CYYZ,0.040490143846563666,0.01282649517187541,0.003246470113421014,2
EGLL,0.034096963239211506,0.008070922832644462,0.0026643647601866907,3
EHAM,0.0487480021310602,0.01694540301158288,0.00311789024466922,2
K3R9,0.003551767004084532,0.000497194198075101,0.00017187305050710003,1
K9X1,0.014739833066950809,0.0010050506811225103,0.0007769220533039781,0
KAJO,0.005771621381637364,0.0001005807373249766,0.00011094658672568262,1
KAPA,0.045551411827384126,0.016174209231560974,0.0020317066851512867,2
KAPC,0.02042266027348606,0.002426393493977653,0.000489752997675192,0
KATL,0.06357662937311312,0.017686106612295697,0.006495174932940932,2
KAUS,0.04075652637187001,0.012870067058146712,0.0023070640734145133,2
KBNA,0.049103178831468655,0.011696435205370734,0.0027530596993649912,2
KBOS,0.051234239033919375,0.015319850035359172,0.004541003319755886,2
KCLT,0.05700586041555674,0.009772400050885087,0.0024637809010612634,2
KCVG,0.01562777481797194,0.001315825040775399,0.0007281410934229614,0
KDAL,0.0500799147575919,0.01578818316433722,0.002683835231899842,2
KDFW,0.06570768957556385,0.02498139954902828,0.005418318160269588,2
KDTW,0.035872846741253774,0.005118811627975452,0.0014688783133289945,3
KEWR,0.050790268158408806,0.012756207981271887,0.0036852580174719595,2
KFLL,0.034008169064109396,0.0051172937618150826,0.00189267871498116,3
KGRR,0.02095542532409874,0.0043033593554838235,0.0007026202948901632,3
KHOU,0.02610548748002131,0.004517475153946774,0.0010541592502662162,3
KHWO,0.008169064109394424,0.00030662811429234564,0.00041997700310110095,0
KIAD,0.057716213816373645,0.02194460954132153,0.0027780796420304233,2
KJFK,0.045285029302077784,0.00957855044701217,0.0035625573323317936,2
KLAX,0.04173326229799325,0.015141127615776594,0.003718520303490364,2
KLGA,0.0387142603445214,0.003171154232309913,0.003937454402398649,3
KMCO,0.038359083644112946,0.0071225441998177185,0.003440785509708796,2
KMIA,0.039247025395134076,0.010549586964146724,0.002651012900726587,2
KORD,0.07334398863434559,0.0336693408253371,0.007539075612150763,2
KSFO,0.034540934114722074,0.010059577792489512,0.0029597868849476562,2
KT85,0.0003551767004084532,3.9996323562432763e-07,2.853347726114096e-05,1
KTUL,0.024152015627774817,0.0053265704733222305,0.0009734813914575625,3
KXNA,0.00754750488367963,0.0004820711729021489,0.00010391912113433078,1
SC08,0.014473450541644468,0.0006424193774909931,0.00041699970618832617,0
TE85,0.0003551767004084532,8.17049156889295e-05,4.203500961484089e-05,1
TJSJ,0.01287515538980643,0.0008408119090646272,0.0006858603125037079,0
TS07,0.005238856331024685,0.0002862972135014936,0.00011868055474680678,1
TX04,0.001509500976735926,3.0353471199637836e-05,8.759081574577087e-05,1
03FA,0.0012431184514295863,5.714049659569164e-07,5.8528139118833945e-05,1
79FD,0.005505238856331024,0.00019188701694044835,0.00017972729394005716,1
9FD2,0.0023086485526549456,6.177808551539601e-05,0.00014966811439105863,1
FL01,0.002397442727757059,3.6740046571200215e-05,9.25980002862598e-05,1
KISM,0.013851891315929675,0.001181034618644005,0.0003966841666279007,0
KOCF,0.016160539868584622,0.0017125858853647984,0.0006224236336599433,0
03IL,0.0003551767004084532,6.924071822369541e-07,3.3317606560709334e-05,1
KLOT,0.00887941751021133,0.0017215494333063265,0.0005560027104122712,0
03IN,0.0004439708755105665,4.3392413498660007e-07,2.9992159700783546e-05,1
KGEZ,0.0016870893269401528,0.0002541487075950877,0.00012024338395121664,1
03MA,0.0011543242763274728,7.606145489495966e-07,4.06300005799922e-05,1
24ME,0.0015982951518380393,8.67704795715466e-05,8.473822951983707e-05,1
KASH,0.010388918486947256,0.000372589284286557,0.0003280599797971373,0
KBED,0.03525128751553898,0.007202933820609476,0.0011638606205394645,3
KLCI,0.013851891315929675,0.0013249180366363327,0.0003403931994885714,0
ME33,0.004794885455514118,0.00015402749022897348,0.0001841436637576026,1
03ME,0.0002663825253063399,1.412539454219151e-07,2.3642947148567518e-05,1
KPSM,0.016160539868584622,0.0011824657850503285,0.00045259448288965416,0
03NY,0.0011543242763274728,7.64802999663967e-06,3.686718430633114e-05,1
KHPN,0.05150062155922572,0.014520449827924749,0.0020949348571208466,2
KISP,0.018380394246137452,0.0011575451802636769,0.0006863555583440046,0
03OH,0.0002663825253063399,3.983015240930602e-07,2.324923828786241e-05,1
KLAN,0.0003551767004084532,1.1495125814330926e-05,2.933723837883724e-05,1
KTOL,0.004350914580003552,0.00033618421876993447,9.653872115508152e-05,1
03OK,0.0009767359261232463,3.059746120373461e-05,0.00013321807817946897,1
1OK0,0.0004439708755105665,1.0229618920002906e-06,8.188023572669852e-05,1
98OK,0.0007991475759190197,8.506691212770376e-05,8.598936984967662e-05,1
KRVS,0.01882436512164802,0.005326029690449965,0.0016066977263619706,3
03PS,0.0007103534008169064,0.00010710052522304804,3.492853368543384e-05,1
8PA1,0.0002663825253063399,0.0,5.152097315681047e-05,1
9MI2,0.0028414136032676256,2.607373131148851e-06,9.51815804361443e-05,1
KBUF,0.021310602024507193,0.0041513826612285705,0.0009999115196998461,3
03WI,0.0001775883502042266,0.0,1.8386629517644837e-05,1
0WI7,0.0019534718522464926,0.00037233458002259884,0.00016106695338674148,1
WS17,0.0024862369028591726,0.00029879845640189097,0.00014642788481952583,1
03WN,0.0003551767004084532,3.661237196869708e-07,3.1280270999893965e-05,1
OR53,0.0006215592257147931,8.121316734066401e-05,6.42300704185248e-05,1
04AA,0.0001775883502042266,1.3538556879095854e-05,2.882123258021312e-05,1
PASX,0.002930207778369739,0.0005758885406316891,0.0002753430539721242,1
04AZ,8.87941751021133e-05,0.0,1.8386629517644837e-05,1
KIWA,0.019001953471852247,0.002316809324767585,0.0006139316302822733,0
04CA,0.0005327650506126798,5.660873077834146e-07,2.4841859785431004e-05,1
11CL,0.0004439708755105665,4.291509657264583e-06,3.093330584769707e-05,1
KL35,0.004528502930207778,9.38844518218101e-05,0.0001173038314442887,1
KL94,0.0003551767004084532,0.0,3.0631258404241207e-05,1
04CL,0.001775883502042266,1.0030420992895193e-05,6.173741548757593e-05,1
8CL1,0.0011543242763274728,2.28652560782805e-06,3.559086014396994e-05,1
KCRQ,0.0233528680518558,0.0028620441401455807,0.0008312941531519851,0
KMYF,0.015805363168176167,0.000966085369161196,0.0007221481733101768,0
KNFG,0.003551767004084532,8.01340584397978e-05,9.376898152156348e-05,1
KNKX,0.002042266027348606,1.673256076078659e-05,5.9574605340629296e-05,1
KTRM,0.0002663825253063399,0.0,2.870444450735344e-05,1
04ID,0.001509500976735926,8.584074190301143e-06,8.209819249508939e-05,1
08NE,0.0006215592257147931,6.620611798413875e-06,3.876220071511964e-05,1
20ID,0.000887941751021133,1.8040765279357762e-07,6.0175848208157424e-05,1
ID00,0.002042266027348606,4.156048476914732e-06,0.00011458234781748446,1
KBOI,0.02122180784940508,0.005526948138822485,0.0011161136372571977,3
KEUL,0.004350914580003552,0.00036800482527639974,0.00018074047365741996,1
KS67,0.005327650506126798,0.0005765444888950145,0.00023075666669348567,1
KUAO,0.013052743740010656,0.002261494390352395,0.0004949086873561621,0
04IL,8.87941751021133e-05,0.0,1.8386629517644837e-05,1
9IL6,0.000887941751021133,0.00019898825399457354,8.995551229673681e-05,1
04KY,0.0001775883502042266,0.0,2.025255032175974e-05,1
KAAS,0.0006215592257147931,0.00019789602524922573,7.213208010613481e-05,1
04LL,0.0009767359261232463,4.961660085000057e-06,5.32581332097374e-05,1
5LL7,0.0004439708755105665,1.6561535033391146e-05,4.4496304026999826e-05,1
KBUU,0.003818149529390872,0.0003465034867922829,0.0001506526830707517,1
KDPA,0.025217545729000177,0.00710351424505216,0.0009235162365211182,3
KPWK,0.040134967146155213,0.012840863848437618,0.0014394520140830174,3
KUGN,0.010921683537559936,0.0016035499350968766,0.00032011794320205804,0
WS72,0.0009767359261232463,6.875786324174386e-06,6.09978527813329e-05,1
04NY,0.0019534718522464926,3.960242846408982e-05,6.466541218867029e-05,1
4NY4,0.005150062155922571,0.0011731380085148746,0.0003808565919424898,0
K1B1,0.003019001953471852,0.00013011389220513915,9.87912906477007e-05,1
KFOK,0.029302077783697388,0.005363988759881078,0.0007983297658716795,3
KHTO,0.01971230687266915,0.0011027012119080562,0.000703961013557723,0
KMGJ,0.008257858284496537,0.00038763126994565973,0.00022492467583847762,0
KPOU,0.006925945657964837,0.00019338824002365504,0.00016522970250538126,1
KRME,0.006659563132658497,0.0009295143175170679,0.0002367356583518669,0
KSLK,0.00834665245959865,0.00048684277569511743,0.00017456311781590317,0
KTEB,0.06952583910495472,0.044654974581234116,0.0027964794897973404,2
KVGC,0.0016870893269401528,1.1539074309721031e-05,5.704127102006859e-05,1
04TX,0.0007103534008169064,8.332149612147802e-06,3.548510035307718e-05,1
84TE,0.0004439708755105665,3.836180520317071e-07,3.309078722233536e-05,1
K7F7,0.0006215592257147931,8.308506454554668e-05,6.394835303893208e-05,1
TX82,0.0014207068016338128,0.0001283442126930526,9.22392800902728e-05,1
04VG,0.0002663825253063399,6.918391726720027e-05,2.812789810648054e-05,1
54NC,0.0016870893269401528,8.61463734335784e-05,0.00017054005108993567,1
VA50,8.87941751021133e-05,0.0,3.0396647999574753e-05,1
05AK,8.87941751021133e-05,0.0,1.8386629517644837e-05,1
05CL,0.0006215592257147931,5.641713415096694e-08,2.5254891746826818e-05,1
KMRY,0.012786361214704315,0.0006774771416027343,0.00013896408066318516,0
05FA,0.0007991475759190197,1.969859754167587e-06,2.952207232675514e-05,1
0FD5,0.002131060202450719,8.777560261158949e-05,6.459961705745729e-05,1
K33J,0.0014207068016338128,1.2956739811752787e-05,6.544793136092154e-05,1
KUES,0.017137275794707866,0.003518090320061578,0.0005912223273941251,0
05FL,0.001509500976735926,3.2581000498030176e-06,5.9791890328291585e-05,1
FL74,0.000887941751021133,8.174368042986227e-05,8.46289352217767e-05,1
05IA,0.0005327650506126798,4.461466793613945e-06,3.214263559200907e-05,1
KD02,0.000887941751021133,9.681900851274244e-05,0.00013044957406741962,1
KDLL,0.004173326229799325,0.0005124714469494976,0.00018022334565727003,1
KIFA,0.001775883502042266,0.00035716293887455845,0.00015593771434236248,1
